Run,ASTrns,ASTrns_KD,ASUncc,ASUncc_KD,ASUnrg,ASUnrg_KD,AktAcc,AktAcc_KD,AktAch,AktAch_KD,AktAct,AktAct_KD,AktSemel,AktSemel_KD,AktState,AktState_KD,ClCntfcl,ClCntfcl_KD,ClNegPol,ClNegPol_KD,DtDTAM,DtDTAM_KD,DtExp,DtExp_KD,DtRes,DtRes_KD,DtUniv,DtUniv_KD,TLAspPfv,TLAspPfv_KD,TLMdIrr,TLMdIrr_KD,TLTS,TLTS_KD,VcPass,VcPass_KD
Claude_abl1,38,12,25,20,22,12,82,48,81,10,28,26,2,0,33,31,13,7,6,0,82,0,74,40,65,48,39,34,57,46,15,4,68,1,7,3
Claude_abl2,37,11,40,40,20,10,67,35,82,16,29,27,1,0,40,39,14,8,13,4,44,2,67,45,75,56,40,31,47,38,23,5,68,1,8,2
Claude_abl3,35,18,28,21,26,12,85,35,76,19,30,26,0,0,25,20,9,1,9,2,69,0,88,42,79,57,35,33,89,75,16,5,74,23,7,2
Claude_abl4,41,16,26,21,23,10,82,48,73,16,34,27,0,0,34,33,9,1,11,1,68,1,63,25,63,36,39,33,71,61,13,4,75,19,8,3
Claude_abl5,39,18,26,23,16,10,74,50,80,21,31,29,0,0,40,38,8,1,8,0,69,1,75,29,78,68,37,32,76,69,30,3,70,1,6,2
Claude_abl6,38,13,25,21,28,11,104,24,79,33,30,27,0,0,34,33,7,2,12,1,65,1,82,50,67,54,41,36,45,33,16,4,72,1,6,3
Claude_all1,88,77,95,82,19,16,131,34,137,114,31,30,0,0,36,30,10,1,34,9,35,4,156,13,118,29,109,21,59,47,25,5,62,1,13,1
Claude_all2,57,11,45,11,36,15,162,33,99,48,31,28,0,0,23,13,9,1,14,8,91,0,147,14,86,26,61,31,74,54,27,3,85,1,9,1
Claude_all3,48,16,85,85,17,14,98,38,172,165,32,25,0,0,43,42,8,1,22,3,44,2,66,41,117,25,41,40,46,30,34,15,25,2,62,0
Claude_all4,50,17,179,27,181,3,100,49,109,31,32,26,24,0,267,20,63,3,22,6,39,2,120,44,87,53,61,42,59,36,17,6,73,44,14,1
Claude_all5,54,4,36,11,176,2,195,9,96,16,157,8,89,0,76,7,8,1,12,3,284,0,211,7,136,16,181,15,36,10,18,5,270,0,21,1
Claude_all6,49,28,71,69,17,17,97,76,138,103,28,28,5,0,86,35,29,20,12,7,195,1,130,118,80,42,36,36,174,172,23,23,95,61,62,0
Claude_full,38,13,28,22,23,10,81,46,74,13,28,26,0,0,34,32,9,1,10,2,66,1,76,44,69,50,42,35,62,52,17,5,73,1,8,3
Gemini_abl1,173,162,159,80,148,7,142,44,201,135,120,19,126,0,143,29,125,22,105,16,46,2,73,33,247,154,141,41,193,181,132,37,152,53,128,38
Gemini_abl2,81,70,65,64,18,16,99,73,149,142,35,33,0,0,42,42,7,3,9,4,34,3,89,71,138,136,43,25,70,62,14,11,35,2,8,3
Gemini_abl3,50,41,24,13,153,2,145,26,100,44,54,14,6,0,85,8,9,1,7,4,32,3,137,9,70,54,60,31,65,45,11,4,64,1,9,1
Gemini_abl4,97,90,39,35,26,10,97,57,137,120,42,27,0,0,39,35,7,1,7,3,41,2,78,14,85,68,37,27,87,82,14,5,39,1,6,2
Gemini_abl5,76,68,56,53,19,12,82,74,129,104,39,26,1,0,39,34,8,1,10,4,62,2,99,24,107,102,43,35,72,62,20,12,42,1,6,1
Gemini_abl6,81,76,51,48,25,12,79,74,134,112,39,28,0,0,39,38,8,1,9,5,43,2,90,34,115,112,41,36,95,90,12,6,66,1,7,2
Gemini_all1,124,118,91,26,57,8,144,26,115,67,45,21,136,0,169,11,11,2,22,3,18,4,221,0,127,17,176,14,45,3,122,1,62,1,9,0
Gemini_all2,97,83,43,14,118,7,120,49,105,71,37,23,32,0,96,13,5,1,10,7,20,4,180,10,97,20,50,36,80,57,20,4,79,1,7,3
Gemini_all3,206,205,86,86,17,17,83,83,187,187,36,36,0,0,43,43,14,12,32,27,23,3,120,120,150,142,57,57,290,289,44,44,74,74,28,25
Gemini_all4,177,173,107,75,70,16,94,55,126,6,181,1,23,0,282,20,49,28,13,6,76,5,133,62,160,160,99,35,103,60,12,5,72,43,15,0
Gemini_all5,192,178,29,9,77,9,151,45,127,105,90,24,10,0,80,17,7,0,10,7,339,0,212,6,122,27,49,47,135,114,16,4,267,0,13,1
Gemini_all6,207,207,87,86,17,17,83,83,181,176,48,35,7,0,43,43,32,28,14,11,10,5,121,120,136,126,63,56,285,285,48,44,168,69,11,6
Gemini_full,173,161,165,77,75,14,129,53,186,138,109,20,99,0,165,20,103,25,75,10,52,3,71,34,248,158,137,37,208,194,118,35,126,62,124,37
OpenAI_abl1,48,37,34,20,23,13,81,53,94,43,29,29,4,0,37,15,2,2,11,3,64,1,80,60,69,54,38,34,70,64,15,9,52,2,12,5
OpenAI_abl2,53,44,31,18,36,8,70,54,94,38,31,30,19,0,33,18,5,1,24,1,55,3,123,7,72,41,40,31,49,37,20,8,43,1,10,2
OpenAI_abl3,43,30,35,11,24,12,78,51,96,28,30,27,5,0,46,14,8,1,11,3,65,1,80,44,69,53,40,33,73,59,16,4,49,1,11,3
OpenAI_abl4,73,61,28,15,24,13,69,58,94,44,30,29,19,0,32,17,3,1,14,3,55,2,73,29,62,40,37,32,95,88,13,4,46,1,10,4
OpenAI_abl5,57,46,22,14,21,16,80,70,86,31,29,28,7,0,37,20,6,1,17,3,67,2,77,19,82,73,44,35,87,84,16,4,48,1,13,5
OpenAI_abl6,51,36,25,15,23,14,75,60,98,58,29,29,5,0,36,21,4,1,17,4,69,1,74,33,70,52,38,36,81,74,16,7,66,1,10,3
OpenAI_all1,50,15,105,58,35,16,157,22,117,84,30,26,63,0,36,28,58,0,60,1,57,2,194,12,105,17,66,24,46,8,69,3,84,2,80,0
OpenAI_all2,62,47,48,13,35,16,140,39,89,32,33,28,13,0,90,7,8,2,13,2,107,1,114,28,90,29,40,32,50,21,13,4,74,1,28,1
OpenAI_all3,42,21,53,20,128,2,178,26,112,64,64,26,252,0,81,14,5,1,37,9,117,1,173,5,101,13,66,34,37,15,56,3,39,11,117,0
OpenAI_all4,37,17,258,3,213,4,133,25,104,21,36,27,225,0,162,38,147,12,42,4,168,1,219,2,97,67,85,32,110,82,24,6,271,0,41,0
OpenAI_all5,65,50,93,9,207,0,189,15,102,41,147,16,50,0,49,18,6,0,11,3,219,0,157,27,89,30,58,38,85,65,23,5,236,0,29,0
OpenAI_all6,38,10,182,37,188,7,170,31,130,29,197,11,278,0,129,20,301,6,15,5,208,2,171,56,128,25,136,37,53,35,62,13,178,28,141,1
OpenAI_full,54,45,27,16,24,14,71,55,97,45,29,29,10,0,35,20,4,1,15,3,61,1,72,31,74,63,41,34,78,72,23,8,52,1,10,4
