Model,Claude,Claude,Claude,Claude,Claude,Gemini,Gemini,Gemini,Gemini,Gemini,OpenAI,OpenAI,OpenAI,OpenAI,OpenAI
Metric,Precision,Recall,F1,Kappa,Alpha,Precision,Recall,F1,Kappa,Alpha,Precision,Recall,F1,Kappa,Alpha
Feature,,,,,,,,,,,,,,,
ASTrns,0.90234375,0.9467213114754098,0.924,0.728526723215021,0.7285154639175258,0.958974358974359,0.7663934426229508,0.8519362186788155,0.6054956010704353,0.5976149001741926,0.9567307692307693,0.8189300411522634,0.8824833702882483,0.6663270133556534,0.6630539787102887
ASUncc,0.9142857142857143,0.7441860465116279,0.8205128205128205,0.7691722892711204,0.76880183014012,0.9574468085106383,0.5232558139534884,0.6766917293233082,0.6080332046129193,0.6006191950464397,0.8641975308641975,0.813953488372093,0.8383233532934131,0.7871504191562351,0.7873967435148678
ASUnrg,0.3333333333333333,0.4117647058823529,0.3684210526315789,0.33226427196921104,0.33279845956354304,0.2857142857142857,0.47058823529411764,0.35555555555555557,0.3137147923344472,0.3118644067796611,0.23076923076923078,0.17647058823529413,0.2,0.1645264847512039,0.1650602409638553
AktAcc,0.5138888888888888,0.4457831325301205,0.4774193548387097,0.3281141682403843,0.32811059907834106,0.6428571428571429,0.10843373493975904,0.18556701030927836,0.1251635551300464,0.05460291146453922,0.6363636363636364,0.3373493975903614,0.4409448818897638,0.32987896096831226,0.3167104111986001
AktAch,0.7404255319148936,0.93048128342246,0.8246445497630331,0.5613897239682974,0.5532304153889044,0.7870370370370371,0.45454545454545453,0.576271186440678,0.2987775219689355,0.2624770524697946,0.7319587628865979,0.7593582887700535,0.7454068241469817,0.4357345224723811,0.43631606752031393
AktAct,0.8333333333333334,0.2777777777777778,0.4166666666666667,0.3847517730496455,0.37422600619195046,0.6153846153846154,0.2222222222222222,0.32653061224489793,0.28729694404680395,0.2764119601328904,1.0,0.19444444444444445,0.32558139534883723,0.30200457792883395,0.2820705176294074
AktSemel,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,-0.013157894736842035
AktState,0.8461538461538461,0.2558139534883721,0.39285714285714285,0.35579338211204536,0.3405172413793104,0.75,0.06976744186046512,0.1276595744680851,0.10875181148005797,0.06525263889348465,0.6052631578947368,0.5348837209302325,0.5679012345679012,0.5110511695317848,0.5115098785571869
ClCntfcl,0.7714285714285715,0.9642857142857143,0.8571428571428571,0.8430732124013869,0.8431061806656102,0.84375,0.9642857142857143,0.9,0.8905822997687618,0.8906940063091483,0.9,0.9642857142857143,0.9310344827586207,0.9247533340561639,0.9248536109303839
ClNegPol,0.8235294117647058,0.9767441860465116,0.8936170212765957,0.8770898271465004,0.8771276595744681,0.926829268292683,0.8837209302325582,0.9047619047619048,0.8916556084614784,0.8918032786885246,0.7692307692307693,0.9302325581395349,0.8421052631578947,0.8173235531534061,0.8173271241542922
DtDTAM,0.057971014492753624,0.8,0.10810810810810811,0.08348007043380823,0.0030950305143853107,0.05660377358490566,0.6,0.10344827586206896,0.07919983670136765,0.023096942094990358,0.0625,0.8,0.11594202898550725,0.09166201776595284,0.01975652173913034
DtExp,0.7037037037037037,0.6333333333333333,0.6666666666666666,0.5042484397323108,0.5042918454935622,0.6967213114754098,0.7083333333333334,0.7024793388429752,0.5432040077522214,0.5438455349959774,0.6846153846153846,0.7416666666666667,0.712,0.5502430243024303,0.5504864864864865
DtRes,0.8642857142857143,0.7076023391812866,0.7781350482315113,0.6011959291770075,0.5985576721264682,1.0,0.19883040935672514,0.33170731707317075,0.20111919606096762,0.05291036959449358,0.907563025210084,0.631578947368421,0.7448275862068966,0.5715477541213375,0.5622908842608398
DtUniv,0.7586206896551724,0.38596491228070173,0.5116279069767442,0.4507838408200181,0.44335220318237456,0.65,0.45614035087719296,0.5360824742268041,0.46338362143028966,0.4614826710873957,0.7666666666666667,0.40350877192982454,0.5287356321839081,0.4685270275318465,0.4619667102198489
TLAspPfv,0.9596774193548387,0.8206896551724138,0.8847583643122676,0.4978761144564253,0.4880611953102659,0.9722222222222222,0.7241379310344828,0.8300395256916996,0.40674327064530236,0.3734967622571693,0.9732142857142857,0.7517241379310344,0.8482490272373541,0.4412238325281803,0.4157587548638132
TLMdIrr,0.7647058823529411,0.8863636363636364,0.8210526315789474,0.792850370474418,0.7929707407081978,0.8125,0.8863636363636364,0.8478260869565217,0.8246209386281589,0.8248230535894843,0.7058823529411765,0.8181818181818182,0.7578947368421053,0.719611021069692,0.7197743101472274
TLTS,0.503448275862069,0.9864864864864865,0.6666666666666666,0.5354922707351512,0.5136842105263157,0.5748031496062992,0.9864864864864865,0.7263681592039801,0.6254244273910228,0.6153613272380491,0.5887096774193549,0.9864864864864865,0.7373737373737373,0.6416570679588514,0.6330645161290323
VcPass,0.8780487804878049,0.9230769230769231,0.9,0.8869798876313004,0.8871335504885993,0.8604651162790697,0.9487179487179487,0.9024390243902439,0.889402390438247,0.8895265423242468,0.8536585365853658,0.8974358974358975,0.875,0.8587248595391255,0.8589169381107492
