Model,Claude,Claude,Claude,Claude,Claude
Metric,Precision,Recall,F1,Kappa,Alpha
Feature,,,,,
ASTrns,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.7391991570073762,0.7405163329820864
ASUncc,0.8947368421052632,0.7391304347826086,0.8095238095238095,0.758830694275274,0.7594627594627594
ASUnrg,0.5,0.3333333333333333,0.4,0.3850931677018634,0.38756476683937824
AktAcc,0.40816326530612246,0.8333333333333334,0.547945205479452,0.3298461538461539,0.28756164383561644
AktAch,0.7647058823529411,0.8666666666666667,0.8125,0.473404255319149,0.47232142857142856
AktAct,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.18947368421052635,0.18930041152263377
AktState,0.7777777777777778,0.7,0.7368421052631579,0.7089947089947091,0.7103793002058219
ClCntfcl,0.8235294117647058,1.0,0.9032258064516129,0.8854608561511762,0.885841220784238
ClNegPol,0.8181818181818182,1.0,0.9,0.8888888888888888,0.8893258426966292
DtDTAM,0.0,0.0,0.0,-0.01538461538461533,-0.015463917525773141
DtExp,0.6842105263157895,0.5909090909090909,0.6341463414634146,0.5392491467576792,0.5409352182693801
DtRes,0.9142857142857143,0.5,0.6464646464646465,0.3488066152978764,0.29650035710641764
DtUniv,1.0,0.21428571428571427,0.35294117647058826,0.31894934333958724,0.2957426064348392
TLAspPfv,0.9565217391304348,0.7857142857142857,0.8627450980392157,0.4151898734177215,0.3991285403050109
TLMdIrr,0.7391304347826086,0.85,0.7906976744186046,0.7329937069223853,0.7339834958739685
TLTS,0.3333333333333333,1.0,0.5,0.37579617834394896,0.32291666666666663
VcPass,0.8888888888888888,0.8421052631578947,0.8648648648648649,0.8338368580060422,0.8346483129091825
