Model,Anthropic,Anthropic,Anthropic,Anthropic,Anthropic
Metric,Precision,Recall,F1,Kappa,Alpha
Feature,,,,,
ASTrns,0.9315068493150684,0.9315068493150684,0.9315068493150684,0.7391991570073762,0.7405163329820864
ASUncc,1.0,0.7727272727272727,0.8717948717948718,0.8409893992932862,0.8411546524754072
ASUnrg,1.0,0.75,0.8571428571428571,0.852017937219731,0.8526551982049364
AktAcc,0.5,0.7916666666666666,0.6129032258064516,0.44923504867872044,0.4392789373814041
AktAch,0.8235294117647058,0.8888888888888888,0.8549618320610687,0.5725971370143149,0.5735444912840378
AktAct,1.0,0.4,0.5714285714285714,0.5586924219910847,0.5579655946148092
AktState,0.8,0.8,0.8,0.7775280898876404,0.7786516853932584
ClCntfcl,1.0,1.0,1.0,1.0,1.0
ClNegPol,0.7692307692307693,1.0,0.8695652173913043,0.8527516113039167,0.853167701863354
DtExp,0.6190476190476191,0.5909090909090909,0.6046511627906976,0.49504950495049505,0.49752438109527386
DtRes,0.9428571428571428,0.515625,0.6666666666666666,0.3860176658522835,0.3367003367003367
DtUniv,1.0,0.42857142857142855,0.6,0.5822784810126582,0.5808510638297872
TLAspPfv,0.9615384615384616,0.8823529411764706,0.9202453987730062,0.5526590198123045,0.5510955302366345
TLMdIrr,0.7083333333333334,0.85,0.7727272727272727,0.7084805653710248,0.7092680047225501
TLTS,0.5,1.0,0.6666666666666666,0.5892116182572614,0.579059829059829
VcPass,0.8888888888888888,0.8421052631578947,0.8648648648648649,0.8338368580060422,0.8346483129091825
